2011年按區議會選區、性別及年齡組別劃分的人口,(A303),,,,,,,,,,,,,,,,,,,
區議會選區,,,性別／年齡組別,,,,,,,,,,,,,,,,,
,,,男,,,,,,女,,,,,,合計,,,,,
,,,< 15,15 - 24,25 - 44,45 - 64,65+,小計,< 15,15 - 24,25 - 44,45 - 64,65+,小計,< 15,15 - 24,25 - 44,45 - 64,65+,總計
中西區,-,中環,  727,  579, 2 324, 2 221,  966, 6 817,  511,  789, 2 582, 2 230, 1 123, 7 235, 1 238, 1 368, 4 906, 4 451, 2 089, 14 052
中西區,-,半山東,  885,  770, 2 799, 2 738, 1 133, 8 325,  878,  760, 3 683, 2 777, 1 222, 9 320, 1 763, 1 530, 6 482, 5 515, 2 355, 17 645
中西區,-,衛城, 1 315,  783, 2 394, 2 696,  990, 8 178, 1 250,  962, 4 639, 3 147, 1 084, 11 082, 2 565, 1 745, 7 033, 5 843, 2 074, 19 260
中西區,-,山頂, 1 465,  957, 2 254, 2 711,  782, 8 169, 1 537,  936, 5 522, 3 472,  795, 12 262, 3 002, 1 893, 7 776, 6 183, 1 577, 20 431
中西區,-,大學, 1 207, 1 147, 2 218, 2 590, 1 021, 8 183, 1 205, 1 253, 4 498, 3 172, 1 186, 11 314, 2 412, 2 400, 6 716, 5 762, 2 207, 19 497
中西區,-,堅摩, 1 035,  765, 2 807, 2 199, 1 009, 7 815, 1 017,  861, 3 428, 2 293, 1 163, 8 762, 2 052, 1 626, 6 235, 4 492, 2 172, 16 577
中西區,-,觀龍,  601,  891, 1 992, 1 969, 1 146, 6 599,  625,  760, 2 517, 2 210, 1 491, 7 603, 1 226, 1 651, 4 509, 4 179, 2 637, 14 202
中西區,-,西環,  838,  814, 2 145, 2 312, 1 002, 7 111,  738,  756, 2 694, 2 445, 1 199, 7 832, 1 576, 1 570, 4 839, 4 757, 2 201, 14 943
中西區,-,寶翠, 1 541, 1 093, 2 855, 2 996, 1 154, 9 639, 1 490, 1 178, 4 522, 3 228, 1 593, 12 011, 3 031, 2 271, 7 377, 6 224, 2 747, 21 650
中西區,-,石塘咀, 1 033, 1 036, 2 535, 2 363, 1 275, 8 242,  905,  999, 2 919, 2 566, 1 539, 8 928, 1 938, 2 035, 5 454, 4 929, 2 814, 17 170
中西區,-,西營盤,  780,  893, 2 183, 2 266, 1 287, 7 409,  788,  803, 2 335, 2 409, 1 468, 7 803, 1 568, 1 696, 4 518, 4 675, 2 755, 15 212
中西區,-,上環,  904,  932, 2 829, 2 374, 1 332, 8 371,  868,  916, 3 046, 2 520, 1 514, 8 864, 1 772, 1 848, 5 875, 4 894, 2 846, 17 235
中西區,-,東華,  768,  665, 2 451, 1 875,  776, 6 535,  579,  596, 2 723, 1 897, 1 054, 6 849, 1 347, 1 261, 5 174, 3 772, 1 830, 13 384
中西區,-,正街,  786,  875, 2 121, 2 387, 1 149, 7 318,  692,  792, 2 745, 2 423, 1 298, 7 950, 1 478, 1 667, 4 866, 4 810, 2 447, 15 268
中西區,-,水街,  862,  810, 2 067, 2 251, 1 001, 6 991,  718,  787, 2 733, 2 490, 1 274, 8 002, 1 580, 1 597, 4 800, 4 741, 2 275, 14 993
灣仔,-,軒尼詩,  629,  746, 2 053, 2 088,  991, 6 507,  584,  731, 2 063, 1 915, 1 188, 6 481, 1 213, 1 477, 4 116, 4 003, 2 179, 12 988
灣仔,-,愛群,  760,  788, 2 197, 2 046, 1 162, 6 953,  589,  747, 2 493, 2 238, 1 417, 7 484, 1 349, 1 535, 4 690, 4 284, 2 579, 14 437
灣仔,-,鵝頸,  583,  681, 2 019, 2 006, 1 145, 6 434,  539,  684, 2 234, 2 096, 1 398, 6 951, 1 122, 1 365, 4 253, 4 102, 2 543, 13 385
灣仔,-,銅鑼灣,  511,  600, 2 059, 1 957, 1 308, 6 435,  516,  535, 2 444, 2 197, 1 486, 7 178, 1 027, 1 135, 4 503, 4 154, 2 794, 13 613
灣仔,-,大坑,  701,  489, 1 879, 1 946,  901, 5 916,  680,  608, 2 855, 2 213, 1 215, 7 571, 1 381, 1 097, 4 734, 4 159, 2 116, 13 487
灣仔,-,渣甸山,  980,  756, 1 401, 2 270,  743, 6 150,  873,  825, 3 720, 2 906, 1 059, 9 383, 1 853, 1 581, 5 121, 5 176, 1 802, 15 533
灣仔,-,樂活, 1 110,  661, 1 475, 1 989,  714, 5 949, 1 060,  703, 3 392, 2 474,  939, 8 568, 2 170, 1 364, 4 867, 4 463, 1 653, 14 517
灣仔,-,跑馬地,  590,  330, 2 150, 1 850,  856, 5 776,  600,  406, 3 038, 2 183, 1 225, 7 452, 1 190,  736, 5 188, 4 033, 2 081, 13 228
灣仔,-,司徒拔道,  857,  606, 1 377, 1 956, 1 050, 5 846,  790,  584, 3 397, 2 704, 1 140, 8 615, 1 647, 1 190, 4 774, 4 660, 2 190, 14 461
灣仔,-,修頓,  766,  715, 2 138, 2 170,  879, 6 668,  781,  586, 2 689, 2 033, 1 017, 7 106, 1 547, 1 301, 4 827, 4 203, 1 896, 13 774
灣仔,-,大佛口,  541,  689, 2 300, 2 145,  876, 6 551,  541,  577, 2 244, 2 147, 1 125, 6 634, 1 082, 1 266, 4 544, 4 292, 2 001, 13 185
東區,-,太古城西, 1 220,  759, 1 953, 2 734, 1 046, 7 712, 1 180, 1 038, 3 775, 3 182, 1 184, 10 359, 2 400, 1 797, 5 728, 5 916, 2 230, 18 071
東區,-,太古城東, 1 045,  864, 2 113, 2 950, 1 408, 8 380, 1 154,  835, 3 857, 3 600, 1 546, 10 992, 2 199, 1 699, 5 970, 6 550, 2 954, 19 372
東區,-,鯉景灣, 1 206,  850, 2 688, 3 109, 1 558, 9 411, 1 103, 1 026, 3 875, 3 198, 1 650, 10 852, 2 309, 1 876, 6 563, 6 307, 3 208, 20 263
東區,-,愛秩序灣,  979, 1 004, 2 399, 2 756, 1 786, 8 924,  976,  935, 3 115, 2 941, 2 375, 10 342, 1 955, 1 939, 5 514, 5 697, 4 161, 19 266
東區,-,筲箕灣,  761,  785, 1 836, 2 374,  893, 6 649,  683,  746, 2 321, 2 243, 1 037, 7 030, 1 444, 1 531, 4 157, 4 617, 1 930, 13 679
東區,-,阿公岩, 1 113,  953, 2 982, 3 048, 1 684, 9 780, 1 094,  859, 3 491, 3 073, 2 096, 10 613, 2 207, 1 812, 6 473, 6 121, 3 780, 20 393
東區,-,杏花邨, 1 184, 1 058, 2 003, 3 519,  848, 8 612, 1 090, 1 135, 3 619, 3 672, 1 058, 10 574, 2 274, 2 193, 5 622, 7 191, 1 906, 19 186
東區,-,翠灣,  659,  834, 1 714, 2 112, 1 013, 6 332,  577,  786, 2 046, 2 211, 1 137, 6 757, 1 236, 1 620, 3 760, 4 323, 2 150, 13 089
東區,-,欣藍, 1 271,  990, 2 102, 2 775,  631, 7 769, 1 195,  825, 3 620, 2 774,  827, 9 241, 2 466, 1 815, 5 722, 5 549, 1 458, 17 010
東區,-,小西灣,  600, 1 033, 1 816, 2 334,  954, 6 737,  577, 1 071, 1 925, 2 415, 1 237, 7 225, 1 177, 2 104, 3 741, 4 749, 2 191, 13 962
東區,-,景怡,  881,  952, 1 805, 2 887,  980, 7 505,  839,  944, 2 554, 2 918, 1 266, 8 521, 1 720, 1 896, 4 359, 5 805, 2 246, 16 026
東區,-,環翠,  695, 1 169, 1 965, 2 302, 1 213, 7 344,  603, 1 019, 2 128, 2 610, 1 303, 7 663, 1 298, 2 188, 4 093, 4 912, 2 516, 15 007
東區,-,翡翠,  717,  942, 1 825, 2 437, 1 547, 7 468,  670,  847, 2 154, 2 660, 1 759, 8 090, 1 387, 1 789, 3 979, 5 097, 3 306, 15 558
東區,-,柏架山,  774,  682, 1 925, 2 044, 1 054, 6 479,  729,  705, 2 411, 2 218, 1 145, 7 208, 1 503, 1 387, 4 336, 4 262, 2 199, 13 687
東區,-,寶馬山, 1 120,  809, 1 565, 2 514,  803, 6 811, 1 122,  841, 4 178, 3 243,  972, 10 356, 2 242, 1 650, 5 743, 5 757, 1 775, 17 167
東區,-,天后,  598,  588, 1 751, 2 066, 1 512, 6 515,  500,  587, 2 554, 2 498, 1 616, 7 755, 1 098, 1 175, 4 305, 4 564, 3 128, 14 270
東區,-,炮台山,  859,  733, 1 971, 2 303, 1 157, 7 023,  845,  732, 3 352, 2 674, 1 436, 9 039, 1 704, 1 465, 5 323, 4 977, 2 593, 16 062
東區,-,維園,  653,  540, 1 837, 2 185, 1 168, 6 383,  667,  634, 2 783, 2 414, 1 369, 7 867, 1 320, 1 174, 4 620, 4 599, 2 537, 14 250
東區,-,城市花園,  810,  679, 1 974, 2 315, 1 129, 6 907,  761,  854, 3 082, 2 602, 1 407, 8 706, 1 571, 1 533, 5 056, 4 917, 2 536, 15 613
東區,-,和富,  975,  924, 2 606, 2 884, 1 842, 9 231,  907,  998, 3 630, 3 440, 2 057, 11 032, 1 882, 1 922, 6 236, 6 324, 3 899, 20 263
東區,-,堡壘,  902,  806, 2 130, 2 161,  938, 6 937,  863,  688, 2 723, 2 256, 1 304, 7 834, 1 765, 1 494, 4 853, 4 417, 2 242, 14 771
