按區議會分區及年劃分的家庭住戶每月租金中位數,,,,,,
,,,家庭住戶每月租金中位數(1),,,
,,,港元,,,
年,,,2016,,,
地區 - 香港島／九龍／新界,,區議會分區 - 18區,,,,
香港島,,中西區,14000,,,
,,灣仔(2),14000,,,
,,東區(2),3000,,,
,,南區,2110,,,
,,小計,5500,,,
九龍,,油尖旺,6000,,,
,,深水埗,2500,,,
,,九龍城,2750,,,
,,黃大仙,1750,,,
,,觀塘,1870,,,
,,小計,2250,,,
新界,,葵青,1750,,,
,,荃灣,2960,,,
,,屯門,1110,,,
,,元朗,1750,,,
,,北區,1900,,,
,,大埔,2450,,,
,,沙田,1750,,,
,,西貢,2260,,,
,,離島,2600,,,
,,小計,1750,,,
合計,,合計,2180,,,
,,,,,,
註釋：,,,,,,
(1),數字是根據居於租住居所的家庭住戶編製。詳細的涵蓋範圍請參閱網站內的用語及定義。,,,,,
,,,,,,
(2),2016 年中期人口統計所採用的灣仔區議會及東區區議會分界，不同於 2006 年中期人口統計／2011年人口普查所採用分界，因此本統計表內的 2016 年灣仔區議會及東區區議會的統計數字不可與 2006 年及 2011 年作直接比較。,,,,,
,,,,,,
- 代表零,,,,,,
,,,,,,
資料來源:,,,,,,
香港特別行政區政府,,,,,,
政府統計處,,,,,,
2016年中期人口統計辦事處,,,,,,
查詢電話：3547 1800,,,,,,
電郵：bycensus2016@censtatd.gov.hk,,,,,,
,,,,,,
發布日期:,,,,,,
2017年2月27日,,,,,,
