按年齡及性別劃分的人口,,,,,
,人口,,,,
,人數,,,,
性別,男,女,總計,,
年齡,,,,,
0 - 4,144823,134647,279470,,
5 - 9,151175,140592,291767,,
10 - 14,132291,126927,259218,,
15 - 19,176507,164400,340907,,
20 - 24,220263,224811,445074,,
25 - 29,227755,282481,510236,,
30 - 34,232987,344245,577232,,
35 - 39,227983,343310,571293,,
40 - 44,234587,335218,569805,,
45 - 49,240287,326750,567037,,
50 - 54,292733,350332,643065,,
55 - 59,306819,316230,623049,,
60 - 64,244126,251153,495279,,
65 - 69,196503,199200,395703,,
70 - 74,112184,108643,220827,,
75 - 79,101223,105151,206374,,
80 - 84,74103,92865,166968,,
85+,59013,114268,173281,,
總計,3375362,3961223,7336585,,
,,,,,
,,,,,
,,,,,
,,,,,
資料來源：,,,,,
香港特別行政區政府,,,,,
政府統計處,,,,,
2016年中期人口統計辦事處,,,,,
電郵：bycensus2016@censtatd.gov.hk,,,,,
