region,2009 accident,2010 accident,2011 accident,2009 casualties,2010 casualties,2011 casualties
Central and Western,13.0,10.0,18.0,15.0,10.0,18.0
Eastern,17.0,19.0,27.0,18.0,26.0,28.0
Southern,5.0,6.0,19.0,5.0,6.0,23.0
Wanchai,50.0,45.0,51.0,51.0,45.0,54.0
Kowloon City,74.0,109.0,124.0,79.0,111.0,132.0
Kwun Tong,29.0,27.0,26.0,30.0,28.0,26.0
Sham Shui Po,177.0,180.0,238.0,180.0,190.0,243.0
Wang Tai Sin,504.0,495.0,604.0,527.0,521.0,630.0
Yau Tsim Mong,121.0,121.0,170.0,126.0,123.0,181.0
Islang,407.0,406.0,507.0,424.0,421.0,529.0
Kwai Tsing,30.0,51.0,66.0,30.0,54.0,68.0
North,22.0,28.0,27.0,23.0,30.0,29.0
Sha Tin,267.0,330.0,381.0,282.0,336.0,391.0
Sai Kung,,,,,,
Tai Po,,,,,,
Tsuen Wan,,,,,,
Tuen Mun,,,,,,
Yuen Long,,,,,,
