region,2014 bike path,2011 bike path,2011 population,2016 population 
Central and Western,0,0,251519,243266
Wanchai,0,0,152608,180123
Eastern,0,0,588094,555034
Southern,0.3,0.3,278655,274994
Kowloon City,0,0,377351,418732
Sham Shui Po,0,0,380855,405869
Kwun Tong,0,0,622152,648541
Yau Tsim Mong,1.8,1.5,307878,342970
Wang Tai Sin,0,0,420183,425235
Islang,14,14,141327,156801
North,27,27,304134,315270
Sai Kung,20.6,15,436627,461864
Sha Tin,56,50,630273,659794
Tai Po,35,35,296853,303926
Tsuen Wan,0,0,304637,318916
Kwai Tsing,0,0,511167,520572
Tuen Mun,20,20,487546,489299
Yuen Long,44,44,578529,614178
