region,2014 bike path,2011 bike path,2011 population,2016 population ,2009 accident,2010 accident,2011 accident,2009 casualties,2010 casualties,2011 casualties
Central and Western,0,0,251519,243266,13.0,10.0,18.0,15.0,10.0,18.0
Wanchai,0,0,152608,180123,50.0,45.0,51.0,51.0,45.0,54.0
Eastern,0,0,588094,555034,17.0,19.0,27.0,18.0,26.0,28.0
Southern,300,300,278655,274994,5.0,6.0,19.0,5.0,6.0,23.0
Kowloon City,0,0,377351,418732,74.0,109.0,124.0,79.0,111.0,132.0
Sham Shui Po,0,0,380855,405869,177.0,180.0,238.0,180.0,190.0,243.0
Kwun Tong,0,0,622152,648541,29.0,27.0,26.0,30.0,28.0,26.0
Yau Tsim Mong,1800,1500,307878,342970,121.0,121.0,170.0,126.0,123.0,181.0
Wang Tai Sin,0,0,420183,425235,504.0,495.0,604.0,527.0,521.0,630.0
Islang,14000,14000,141327,156801,407.0,406.0,507.0,424.0,421.0,529.0
North,27000,27000,304134,315270,22.0,28.0,27.0,23.0,30.0,29.0
Sai Kung,20600,15000,436627,461864,,,,,,
Sha Tin,56000,50000,630273,659794,267.0,330.0,381.0,282.0,336.0,391.0
Tai Po,35000,35000,296853,303926,,,,,,
Tsuen Wan,0,0,304637,318916,,,,,,
Kwai Tsing,0,0,511167,520572,30.0,51.0,66.0,30.0,54.0,68.0
Tuen Mun,20000,20000,487546,489299,,,,,,
Yuen Long,44000,44000,578529,614178,,,,,,
