region,2014 bike path,2011 bike path,2011 population,2016 population ,2009 accident,2010 accident,2011 accident,2009 casualties,2010 casualties,2011 casualties,2011 income,2011 rent,2016 income,2016 rent
Central and Western,0,0,251519,243266,12,15,11,12,17,11,33000,9500,36000,14000
Wanchai,0,0,152608,180123,17,13,18,17,13,19,36150,12000,37750,14000
Eastern,0,0,588094,555034,15,17,19,15,18,19,25400,1980,29830,3000
Southern,300,300,278655,274994,6,10,10,7,13,10,25700,1530,30000,2110
Kowloon City,0,0,377351,418732,13,10,18,15,10,18,23560,2900,25550,2750
Sham Shui Po,0,0,380855,405869,27,32,32,27,34,32,16280,1800,20000,2500
Kwun Tong,0,0,622152,648541,17,19,27,18,26,28,15960,1520,20160,1870
Yau Tsim Mong,1800,1500,307878,342970,50,45,51,51,45,54,22070,5410,23500,6000
Wang Tai Sin,0,0,420183,425235,5,6,19,5,6,23,17000,1340,22000,1750
Islang,14000,14000,141327,156801,74,109,124,79,111,132,21000,2080,27700,2600
North,27000,27000,304134,315270,177,180,238,180,190,243,18580,1330,21500,1900
Sai Kung,20600,15000,436627,461864,22,28,27,23,30,29,26870,1800,32470,2260
Sha Tin,56000,50000,630273,659794,504,495,604,527,521,630,23040,1390,27180,1750
Tai Po,35000,35000,296853,303926,407,406,507,424,421,529,22340,1300,27000,2450
Tsuen Wan,0,0,304637,318916,30,51,66,30,54,68,24100,1880,28800,2960
Kwai Tsing,0,0,511167,520572,29,27,26,30,28,26,17000,1400,21600,1750
Tuen Mun,20000,20000,487546,489299,121,121,170,126,123,181,18000,900,22000,1110
Yuen Long,44000,44000,578529,614178,267,330,381,282,336,391,18000,1380,23000,1750
